id;Domisili;Apakah Anda Mahasiswa / Fresh Graduate;Kemampuan Karyawan ;Target Masuk Perusahaan ;Mengetahui Perusahaan ini Dari Mana?;Provinsi;Mahasiswa/Fresh Graduate;Bukan Mahasiswa;Excel;SQL;Python;Power BI;Looker Studio;Databases;Tableau;Cari Kerja;Upskill;Networking;Switch Career;Jumlah Skill;Jumlah Motivasi;Competency Level;Motivation;Skill
130;Makassar;Ya;Excel, SQL, Python, Databases;Cari Kerja;Instagram;Sulawesi Selatan;1;0;1;1;1;0;0;1;0;1;0;0;0;4;1;Job-Ready Talent;;
131;Yogyakarta;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;DI Yogyakarta;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
132;Bandung;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;0;0;7;2;High-Potential Talent;;
133;Bogor;Ya;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;0;1;1;1;1;1;1;1;1;1;0;6;3;High-Potential Talent;;
134;Probolinggo ;Tidak;Excel, SQL, Power BI;Upskill, Networking;LinkedIn;Jawa Timur;0;1;1;1;0;1;0;0;0;0;1;1;0;3;2;Job-Ready Talent;;
135;Grobogan;Ya;SQL, Python;Upskill, Switch Career;LinkedIn;Jawa Tengah;1;0;0;1;1;0;0;0;0;0;1;0;1;2;2;Emerging Talent;;
136;Bekasi;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Barat;1;0;1;1;1;1;0;1;1;1;1;1;0;6;3;High-Potential Talent;;
137;Semarang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
138;Semarang;Ya;Excel, SQL, Python;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;0;0;0;0;1;1;1;0;3;3;Job-Ready Talent;;
139;Jakarta;Ya;SQL, Python, Power BI, Tableau;Upskill, Networking;LinkedIn;Jakarta;1;0;0;1;1;1;0;0;1;0;1;1;0;4;2;Job-Ready Talent;;
140;Bekasi Jawa Barat;Tidak;Excel, SQL, Databases;Cari Kerja, Upskill, Networking, Switch Career;Teman;Belum ada mapping;0;1;1;1;0;0;0;1;0;1;1;1;1;3;4;Job-Ready Talent;;
141;Wonogiri;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
142;Depok Jawa Barat;Tidak;Excel, SQL, Python, Power BI, Looker Studio;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;0;0;1;1;1;1;5;4;High-Potential Talent;;
143;Jambi;Ya;Excel;Cari Kerja, Upskill, Networking;LinkedIn;Jambi;1;0;1;0;0;0;0;0;0;1;1;1;0;1;3;Emerging Talent;;
144;Jakarta Timur;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jakarta;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
145;Purwakarta;Ya;Power BI, Apache Airflow;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;0;0;0;1;0;0;0;1;1;1;0;1;3;Emerging Talent;;
146;Bogor;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
147;Surabaya;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill;LinkedIn;Jawa Timur;1;0;1;1;1;1;0;1;1;1;1;0;0;6;2;High-Potential Talent;;
148;Jakarta Utara;Tidak;SQL, Python, Power BI, Looker Studio, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;0;1;1;1;1;1;0;1;1;1;1;5;4;High-Potential Talent;;
149;Tangerang;Ya;Power BI, Looker Studio, Databases, Tableau;Upskill, Networking;LinkedIn;Banten;1;0;0;0;0;1;1;1;1;0;1;1;0;4;2;Job-Ready Talent;;
150;Jakarta Timur;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jakarta;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
151;Jakarta;Tidak;SQL, Python, Power BI, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;0;1;1;1;0;1;1;0;1;1;1;5;3;High-Potential Talent;;
152;Bogor;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Barat;0;1;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
153;mojokerto ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Timur;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
154;Subang ;Ya;Excel;Upskill;LinkedIn;Jawa Barat;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;Emerging Talent;;
155;Medan;Ya;SQL, Python, Power BI, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Sumatera Utara;1;0;0;1;1;1;0;0;1;1;1;1;0;4;3;Job-Ready Talent;;
156;Lampung;Ya;Power BI, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Lampung;1;0;0;0;0;1;0;0;1;1;1;1;0;2;3;Emerging Talent;;
157;Jember;Ya;Power BI, Looker Studio, Tableau;Cari Kerja, Networking, Switch Career;LinkedIn;Jawa Timur;1;0;0;0;0;1;1;0;1;1;0;1;1;3;3;Job-Ready Talent;;
158;Bogor;Tidak;Excel, SQL, Python, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;0;0;1;1;0;1;1;1;5;3;High-Potential Talent;;
159;Bandung ;Ya;SQL;Upskill;LinkedIn;Jawa Barat;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;Emerging Talent;;
160;Bogor;Tidak;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;0;1;1;1;1;1;0;1;1;1;1;1;0;6;3;High-Potential Talent;;
161;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
162;Bogor;Tidak;Python, Power BI;Cari Kerja, Networking;LinkedIn;Jawa Barat;0;1;0;0;1;1;0;0;0;1;0;1;0;2;2;Emerging Talent;;
163;Yogyakarta ;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking;LinkedIn;DI Yogyakarta;0;1;1;1;1;1;1;1;1;0;1;1;0;7;2;High-Potential Talent;;
164;Bekasi;Tidak;Excel, SQL, Power BI, Tableau;Upskill, Networking;Instagram;Jawa Barat;0;1;1;1;0;1;0;0;1;0;1;1;0;4;2;Job-Ready Talent;;
165;Bogor;Ya;Excel, SQL, Python, Databases;Cari Kerja, Upskill, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;0;0;1;0;1;1;0;1;4;3;Job-Ready Talent;;
166;Jakarta Barat;Tidak;SQL, Power BI, Tableau;Upskill, Networking, Switch Career;Instagram;Jakarta;0;1;0;1;0;1;0;0;1;0;1;1;1;3;3;Job-Ready Talent;;
167;Surabaya;Ya;SQL, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;0;0;1;0;0;1;1;1;1;1;1;0;4;3;Job-Ready Talent;;
168;Bogor;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Instagram;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
169;Banyumas;Ya;Excel, SQL, Python, Power BI, Databases;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;0;1;0;1;1;1;0;5;3;High-Potential Talent;;
170;Semarang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
171;Jaksel;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jakarta;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
172;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Networking;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;1;0;0;1;0;7;1;High-Potential Talent;;
173;Tulungagung, Jawa Timur;Ya;Excel, SQL, Python, Power BI, Databases;Cari Kerja;LinkedIn;Jawa Tengah;1;0;1;1;1;1;0;1;0;1;0;0;0;5;1;High-Potential Talent;;
174;Sumatera Utara ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Teman;Sumatera Utara;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
175;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;Instagram;Jakarta;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
176;kalimantan timur;Tidak;SQL, Python, Power BI, Looker Studio, Databases;Upskill;LinkedIn;Kalimantan Timur;0;1;0;1;1;1;1;1;0;0;1;0;0;5;1;High-Potential Talent;;
177;Surakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Switch Career;LinkedIn;Jawa Tengah;0;1;1;1;1;1;1;1;1;0;0;0;1;7;1;High-Potential Talent;;
178;Kota Depok;Ya;Excel, Python, Power BI;Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;0;1;1;0;0;0;0;1;1;0;3;2;Job-Ready Talent;;
179;Bandung;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
180;Belitung;Ya;Excel, SQL, Python, Power BI, Looker Studio, Tableau;Upskill, Networking;LinkedIn;Bangka  Belitung;1;0;1;1;1;1;1;0;1;0;1;1;0;6;2;High-Potential Talent;;
181;Cirebon;Ya;Power BI, Looker Studio, Tableau;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;0;0;0;1;1;0;1;1;1;0;0;3;2;Job-Ready Talent;;
182;Surabaya;Ya;Excel, SQL, Python, Power BI, Looker Studio, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Timur;1;0;1;1;1;1;1;0;1;1;1;1;0;6;3;High-Potential Talent;;
183;Riau;Ya;SQL, Power BI, Looker Studio;Cari Kerja, Upskill, Networking, Switch Career;Instagram;Riau;1;0;0;1;0;1;1;0;0;1;1;1;1;3;4;Job-Ready Talent;;
184;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja;Instagram;Jawa Barat;1;0;1;1;1;1;1;1;1;1;0;0;0;7;1;High-Potential Talent;;
185;Bandung;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Bahasa pemrograman R;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;0;0;7;2;High-Potential Talent;;
186;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
187;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, PostgreSQL;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
188;Balikpapan;Tidak;Excel, SQL, Python, Databases;Upskill, Networking, Switch Career;Instagram;Kalimantan Timur;0;1;1;1;1;0;0;1;0;0;1;1;1;4;3;Job-Ready Talent;;
189;Depok;Tidak;Excel, Databases, Tableau;Upskill, Switch Career;LinkedIn;Jawa Barat;0;1;1;0;0;0;0;1;1;0;1;0;1;3;2;Job-Ready Talent;;
190;Sidoarjo;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;1;0;1;1;1;1;0;1;1;1;1;1;1;6;4;High-Potential Talent;;
191;Tangerang;Ya;Excel, SQL, Python, Power BI;Switch Career;LinkedIn;Banten;1;0;1;1;1;1;0;0;0;0;0;0;1;4;1;Job-Ready Talent;;
192;Yogyakarta;Ya;Excel;Cari Kerja, Upskill, Switch Career;Instagram;DI Yogyakarta;1;0;1;0;0;0;0;0;0;1;1;0;1;1;3;Emerging Talent;;
193;Jakarta;Tidak;Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Switch Career;LinkedIn;Jakarta;0;1;0;0;1;1;1;1;1;1;1;0;1;5;3;High-Potential Talent;;
194;Sumatera Utara ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, ;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sumatera Utara;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
195;Sidoarjo, Jawa Timur;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Networking;LinkedIn;Jawa Timur;1;0;1;1;1;1;1;1;1;1;0;1;0;7;2;High-Potential Talent;;
196;Yogyakarta;Ya;Excel, SQL, Python, Power BI, Databases;Upskill;LinkedIn;DI Yogyakarta;1;0;1;1;1;1;0;1;0;0;1;0;0;5;1;High-Potential Talent;;
197;Magelang ;Ya;Excel, Databases;Upskill, Networking;Teman;Jawa Tengah;1;0;1;0;0;0;0;1;0;0;1;1;0;2;2;Emerging Talent;;
198;Kendal;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
199;Bogor;Tidak;Python, Power BI, Looker Studio;Upskill, Networking;LinkedIn;Jawa Barat;0;1;0;0;1;1;1;0;0;0;1;1;0;3;2;Job-Ready Talent;;
200;Jakarta;Tidak;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;1;0;1;1;1;1;1;1;6;4;High-Potential Talent;;
201;Pekanbaru;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Upskill;Instagram;Riau;1;0;1;1;1;1;0;1;1;0;1;0;0;6;1;High-Potential Talent;;
202;Jakarta;Tidak;Excel, SQL, Python, Looker Studio;Cari Kerja, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;0;1;0;0;1;0;1;1;4;3;Job-Ready Talent;;
203;Malang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, big data;Cari Kerja;Instagram;Jawa Timur;1;0;1;1;1;1;1;1;1;1;0;0;0;7;1;High-Potential Talent;;
204;Mojokerto;Ya;Excel, SQL, Python;Cari Kerja, Upskill;LinkedIn;Jawa Timur;1;0;1;1;1;0;0;0;0;1;1;0;0;3;2;Job-Ready Talent;;
205;Kab. Tangerang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Banten;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
206;Denpasar;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Bali;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
207;Tulungagung;Ya;Power BI, Databases, Tableau;Cari Kerja, Upskill;LinkedIn;Jawa Tengah;1;0;0;0;0;1;0;1;1;1;1;0;0;3;2;Job-Ready Talent;;
208;Kota Depok;Tidak;Python, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;0;1;0;0;1;0;0;1;1;1;1;1;0;3;3;Job-Ready Talent;;
209;Yogyakarta;Ya;SQL, Python, Power BI, Looker Studio, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;DI Yogyakarta;1;0;0;1;1;1;1;0;1;1;1;1;1;5;4;High-Potential Talent;;
210;Depok Jawa Barat;Tidak;Excel, SQL, Power BI;Cari Kerja, Upskill, Networking;Teman;Jawa Barat;0;1;1;1;0;1;0;0;0;1;1;1;0;3;3;Job-Ready Talent;;
211;Cirebon;Ya;SQL, Python, Databases;Cari Kerja, Switch Career;LinkedIn;Jawa Barat;1;0;0;1;1;0;0;1;0;1;0;0;1;3;2;Job-Ready Talent;;
212;Karawang ;Ya;SQL, Python;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;0;1;1;0;0;0;0;1;1;1;1;2;4;Emerging Talent;;
213;Bandung;Ya;SQL, Python, Power BI, Databases;Cari Kerja, Upskill, Networking;Teman;Jawa Barat;1;0;0;1;1;1;0;1;0;1;1;1;0;4;3;Job-Ready Talent;;
214;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Di awal ingin Excel terlebih dahulu ;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jakarta;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
215;Surakarta;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
216;Depok;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
217;Depok;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
218;Bandung ;Ya;Excel;Upskill;LinkedIn;Jawa Barat;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;Emerging Talent;;
219;Tangerang;Ya;Python, Power BI, Tableau;Upskill;Instagram;Banten;1;0;0;0;1;1;0;0;1;0;1;0;0;3;1;Job-Ready Talent;;
220;Bekasi;Tidak;semua;Upskill, Networking;LinkedIn;Jawa Barat;0;1;0;0;0;0;0;0;0;0;1;1;0;0;2;Emerging Talent;;
221;Bekasi;Tidak;Python, Power BI, Databases;Cari Kerja, Networking;LinkedIn;Jawa Barat;0;1;0;0;1;1;0;1;0;1;0;1;0;3;2;Job-Ready Talent;;
222;Karawang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Tableau;Upskill, Networking;Teman;Jawa Barat;1;0;1;1;1;1;1;0;1;0;1;1;0;6;2;High-Potential Talent;;
223;Jakarta Selatan;Tidak;Python, Pipilene automation;Upskill, Networking;Teman;Jakarta;0;1;0;0;1;0;0;0;0;0;1;1;0;1;2;Emerging Talent;;
224;Tuban, east java;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
225;Surabaya ;Ya;Excel, SQL, Power BI, Tableau;Cari Kerja, Upskill;LinkedIn;Jawa Timur;1;0;1;1;0;1;0;0;1;1;1;0;0;4;2;Job-Ready Talent;;
226;Gresik;Tidak;Excel;Upskill;LinkedIn;Jawa Timur;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;Emerging Talent;;
227;Jatinangor;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;0;1;0;0;7;1;High-Potential Talent;;
228;Jakarta;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Instagram;Jakarta;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
229;Bandung;Tidak;Excel, Python, Power BI, Looker Studio, Tableau;Upskill, Networking, Switch Career;Instagram;Jawa Barat;0;1;1;0;1;1;1;0;1;0;1;1;1;5;3;High-Potential Talent;;
230;Bandung;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
231;Jakarta;Tidak;SQL, Python, Databases;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jakarta;0;1;0;1;1;0;0;1;0;1;1;1;1;3;4;Job-Ready Talent;;
232;Sulawesi Tengah;Ya;Excel, SQL, Power BI, Databases, Tableau, R Studio;Upskill, Networking;LinkedIn;Sulawesi Tengah;1;0;1;1;0;1;0;1;1;0;1;1;0;5;2;High-Potential Talent;;
233;Bandung;Tidak;Excel, SQL, Python, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jawa Barat;0;1;1;1;1;0;0;1;1;1;1;1;1;5;4;High-Potential Talent;;
234;Bandung;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
235;Bogor;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
236;Tasikmalaya ;Ya;SQL, Power BI, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;0;1;0;1;0;1;0;1;1;1;1;3;4;Job-Ready Talent;;
237;Bogor;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
238;Bandung;Ya;Python, Power BI, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;0;0;1;1;0;1;0;1;1;1;1;3;4;Job-Ready Talent;;
239;Surabaya ;Tidak;Python, Power BI, Looker Studio, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;0;1;0;0;1;1;1;0;1;0;1;1;1;4;3;Job-Ready Talent;;
240;Surabaya ;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
241;Tangerang;Ya;Excel, SQL, Python;Upskill, Networking;LinkedIn;Banten;1;0;1;1;1;0;0;0;0;0;1;1;0;3;2;Job-Ready Talent;;
242;Semarang;Ya;Excel, SQL, Python, Databases;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;0;0;1;0;1;1;1;0;4;3;Job-Ready Talent;;
243;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
244;Semarang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;0;1;1;1;1;0;6;3;High-Potential Talent;;
245;Gresik;Tidak;SQL, Power BI, Looker Studio, Databases;Upskill, Networking;LinkedIn;Jawa Timur;0;1;0;1;0;1;1;1;0;0;1;1;0;4;2;Job-Ready Talent;;
246;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
247;Yogyakarta;Ya;Excel, Python, Looker Studio;Cari Kerja, Upskill;LinkedIn;DI Yogyakarta;1;0;1;0;1;0;1;0;0;1;1;0;0;3;2;Job-Ready Talent;;
248;Medan, Sumatera Utara;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Sumatera Utara;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
249;Medan;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Sumatera Utara;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
250;Semarang;Ya;SQL, Python, Power BI, Tableau;Upskill;LinkedIn;Jawa Tengah;1;0;0;1;1;1;0;0;1;0;1;0;0;4;1;Job-Ready Talent;;
251;Jakarta;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill;LinkedIn;Jakarta;1;0;1;1;1;1;1;1;1;1;1;0;0;7;2;High-Potential Talent;;
252;Padang;Ya;Excel, Python, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Sumatera Barat;1;0;1;0;1;0;1;1;1;0;1;1;1;5;3;High-Potential Talent;;
253;Jawa Timur;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill;LinkedIn;Jawa Timur;0;1;1;1;1;1;1;1;1;0;1;0;0;7;1;High-Potential Talent;;
254;Surakarta;Tidak;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Switch Career;LinkedIn;Jawa Tengah;0;1;0;1;1;1;1;1;1;0;0;0;1;6;1;High-Potential Talent;;
255;Bogor;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
256;Bogor;Ya;Excel, SQL, Python, Power BI, Looker Studio, Tableau, Google Colab;Cari Kerja, Upskill, Networking;Instagram;Jawa Barat;1;0;1;1;1;1;1;0;1;1;1;1;0;6;3;High-Potential Talent;;
257;Surabaya;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Timur;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
258;Sukabumi;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;0;1;1;0;7;2;High-Potential Talent;;
